"term_id","langs","country","term","type","code_lang","hl","gl","Collection date","Result number","Link","domain","top-level domain","link_type","link_accessibility","site_type","content_producer","How recent is the information?","What is the author background?","Are there major scientific errors in the link?","How accurate is the scientific content presented in the link?","Jargon score","Are the following sources available in the link? (mark all that apply)","agg_sci_qual","agg_sci_qual_norm","ndcg"
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",1,"https://www.midilibre.fr/2022/12/03/environnement-il-faut-quon-sy-mette-tous-ensemble-quand-les-jeunes-sengagent-pour-la-planete-10842249.php","www.midilibre.fr","midilibre.fr",3,1,1,11,4,2,2,0,3,"3",6.5,3.75,0.928405029207015
"5","French","Kinshasa,Democratic Republic of the Congo","Environnement","Canonical Scientific Issues","fr","fr","cg","4.12.2022",2,"https://www.techno-science.net/definition/3469.html","www.techno-science.net","techno-science.net",1,1,5,7,1,1,2,3,1,"6,9",6,2.75,0.908560279526059
"5","French","Kinshasa,Democratic Republic of the Congo","Environnement","Canonical Scientific Issues","fr","fr","cg","4.12.2022",4,"https://www.toupie.org/Dictionnaire/Environnement.htm","www.toupie.org","toupie.org",1,1,1,17,1,1,2,3,3,"6",5,2.25,0.908560279526059
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",4,"https://www.midilibre.fr/2022/12/04/environnement-quand-les-citoyens-financent-eux-memes-des-projets-denergies-renouvelables-10842444.php","www.midilibre.fr","midilibre.fr",3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.928405029207015
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",6,"https://www.actu-environnement.com/","www.actu-environnement.com","actu-environnement.com",1,4,2,11,1,1,0,0,0,"5,6",4,1.25,0.928405029207015
"5","French","Kinshasa,Democratic Republic of the Congo","Environnement","Canonical Scientific Issues","fr","fr","cg","4.12.2022",7,"https://www.developpement-durable.gouv.cg/","www.developpement-durable.gouv.cg","gouv.cg",1,1,2,1,1,1,2,3,3,"5,6",9,3.75,0.908560279526059
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",7,"https://www.francetvinfo.fr/monde/environnement/","www.francetvinfo.fr","francetvinfo.fr",1,4,2,11,1,1,0,0,0,"5,6",4,1.25,0.928405029207015
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",8,"https://www.ecologie.gouv.fr/","www.ecologie.gouv.fr","ecologie.gouv.fr",1,4,2,1,1,1,0,0,0,"5,6",5,1.75,0.928405029207015
"5","French","Kinshasa,Democratic Republic of the Congo","Environnement","Canonical Scientific Issues","fr","fr","cg","4.12.2022",9,"https://www.projetecolo.com/qu-est-ce-que-l-environnement-definition-et-resume-200.html","www.projetecolo.com","projetecolo.com",1,1,5,11,4,2,2,3,3,"5,6",7.5,3.75,0.908560279526059
"5","French","Kinshasa,Democratic Republic of the Congo","Environnement","Canonical Scientific Issues","fr","fr","cg","4.12.2022",10,"https://www.studyrama.com/formations/specialites/environnement-developpement-durable","www.studyrama.com","studyrama.com",1,1,5,12,1,1,2,3,3,"5,6",8,3.5,0.908560279526059
"5","French","Paris,Paris,Ile-de-France,France","Environnement","Canonical Scientific Issues","fr","fr","fr","4.12.2022",12,"https://www.huffingtonpost.fr/environnement/","www.huffingtonpost.fr","huffingtonpost.fr",1,4,2,11,1,1,0,0,0,"5,6",4,1.25,0.928405029207015
"6","French","Paris,Paris,Ile-de-France,France","Écosystème","Canonical Scientific Issues","fr","fr","fr","4.12.2022",2,"https://youmatter.world/fr/definition/ecosysteme-definition-enjeux/","youmatter.world","youmatter.world",1,1,1,11,4,1,2,3,2,"6",5,2.75,0.864701542759526
"6","French","Kinshasa,Democratic Republic of the Congo","Écosystème","Canonical Scientific Issues","fr","fr","cg","4.12.2022",3,"https://www.futura-sciences.com/planete/definitions/environnement-ecosysteme-135/","www.futura-sciences.com","futura-sciences.com",1,1,5,7,1,1,2,3,1,"5,6",5,2,1
"6","French","Paris,Paris,Ile-de-France,France","Écosystème","Canonical Scientific Issues","fr","fr","fr","4.12.2022",3,"https://www.ecosystem.eco/","www.ecosystem.eco","ecosystem.eco",1,4,2,2,1,1,0,0,0,"5,6",4,1.25,0.864701542759526
"6","French","Paris,Paris,Ile-de-France,France","Écosystème","Canonical Scientific Issues","fr","fr","fr","4.12.2022",4,"https://www.larousse.fr/dictionnaires/francais/%C3%A9cosyst%C3%A8me/27682","www.larousse.fr","larousse.fr",1,1,1,10,1,1,2,3,2,"6",7,3.25,0.864701542759526
"6","French","Paris,Paris,Ile-de-France,France","Écosystème","Canonical Scientific Issues","fr","fr","fr","4.12.2022",9,"http://geoconfluences.ens-lyon.fr/informations-scientifiques/a-la-une/notion-a-la-une/notion-a-la-une-ecosysteme","geoconfluences.ens-lyon.fr","ens-lyon.fr",1,1,5,6,3,3,2,3,1,"5,6,7,8,9",9,4,0.864701542759526
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",3,"https://www.quebecscience.qc.ca/pose-ta-colle/quest-ce-que-la-pollution/","www.quebecscience.qc.ca","quebecscience.qc.ca",1,1,5,7,3,1,2,3,3,"5,6",7,3,0.836046769996282
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",3,"https://www.airparif.asso.fr/surveiller-la-pollution/la-pollution-en-direct-en-ile-de-france","www.airparif.asso.fr","airparif.asso.fr",1,1,5,3,4,1,2,3,1,"4,5,6,7",8,3.75,0.938783025936389
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",4,"https://www.airparif.asso.fr/accueil-airparif","www.airparif.asso.fr","airparif.asso.fr",1,1,2,3,4,1,2,3,3,"4,5,6,7",11,5,0.938783025936389
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",4,"https://www.lexpress.fr/actualite/societe/environnement/pollution-lumineuse-la-trame-noire-permettra-t-elle-de-sauver-les-especes-nocturnes_2184294.html","www.lexpress.fr","lexpress.fr",3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.836046769996282
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",5,"https://www.lexpress.fr/actualite/societe/environnement/pollution-lumineuse-la-trame-noire-permettra-t-elle-de-sauver-les-especes-nocturnes_2184294.html","www.lexpress.fr","lexpress.fr",3,4,1,11,4,2,NA,NA,0,NA,1.5,1.25,0.938783025936389
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",7,"https://www.futura-sciences.com/planete/actualites/pollution-96-europe-exposee-pollution-dangereuse-particules-102027/","www.futura-sciences.com","futura-sciences.com",3,1,5,7,4,3,2,3,3,"4,5,6,7",10,4.75,0.836046769996282
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",8,"https://www.conservation-nature.fr/ecologie/la-pollution-de-lair/","www.conservation-nature.fr","conservation-nature.fr",1,1,5,11,1,1,2,3,3,"5,6,7",7,3,0.836046769996282
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",8,"https://reporterre.net/Bebes-mort-nes-la-pollution-de-l-air-en-cause","reporterre.net","reporterre.net",3,1,5,11,4,1,2,3,2,"5, 6",7,3.5,0.938783025936389
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",9,"https://www.larousse.fr/dictionnaires/francais/pollution/62217","www.larousse.fr","larousse.fr",1,1,1,10,1,1,2,3,3,"1",6,3,0.938783025936389
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",9,"https://www.who.int/fr/health-topics/air-pollution#tab=tab_1","www.who.int","who.int",1,1,1,4,1,1,2,3,3,"5,6,7",6,2.5,0.836046769996282
"8","French","Kinshasa,Democratic Republic of the Congo","Pollution","Canonical Scientific Issues","fr","fr","cg","4.12.2022",13,"https://www.airparif.asso.fr/effets-de-la-pollution","www.airparif.asso.fr","airparif.asso.fr",1,1,1,2,1,1,2,3,3,"6,7,",5,2.25,0.836046769996282
"8","French","Paris,Paris,Ile-de-France,France","Pollution","Canonical Scientific Issues","fr","fr","fr","4.12.2022",13,"https://www.20minutes.fr/planete/pollution/","www.20minutes.fr","20minutes.fr",1,4,2,11,1,1,0,0,0,"5,6",4,1.25,0.938783025936389
"12","French","Paris,Paris,Ile-de-France,France","Fungi","Canonical Scientific Issues","fr","fr","fr","4.12.2022",3,"https://www.nagwa.com/fr/explainers/325102871697/","www.nagwa.com","nagwa.com",1,1,5,6,1,1,2,3,2,"4,5,7",5,2,0.845678993702188
"12","French","Paris,Paris,Ile-de-France,France","Fungi","Canonical Scientific Issues","fr","fr","fr","4.12.2022",4,"https://www.aquaportail.com/definition-2357-fungus.html","www.aquaportail.com","aquaportail.com",1,1,5,17,2,1,2,3,1,"5,6",4,1.5,0.845678993702188
"12","French","Kinshasa,Democratic Republic of the Congo","Fungi","Canonical Scientific Issues","fr","fr","cg","4.12.2022",4,"https://microbiologysociety.org/why-microbiology-matters/what-is-microbiology/fungi.html","microbiologysociety.org","microbiologysociety.org",1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"12","French","Paris,Paris,Ile-de-France,France","Fungi","Canonical Scientific Issues","fr","fr","fr","4.12.2022",5,"https://www.britannica.com/science/fungus","www.britannica.com","britannica.com",1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.845678993702188
"12","French","Kinshasa,Democratic Republic of the Congo","Fungi","Canonical Scientific Issues","fr","fr","cg","4.12.2022",5,"https://ucmp.berkeley.edu/fungi/fungi.html","ucmp.berkeley.edu","berkeley.edu",1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"12","French","Paris,Paris,Ile-de-France,France","Fungi","Canonical Scientific Issues","fr","fr","fr","4.12.2022",9,"https://fr.bab.la/dictionnaire/anglais-francais/fungi","fr.bab.la","bab.la",1,4,2,10,1,1,0,0,3,"6",7,3,0.845678993702188
"12","French","Kinshasa,Democratic Republic of the Congo","Fungi","Canonical Scientific Issues","fr","fr","cg","4.12.2022",9,"https://biologydictionary.net/fungi/","biologydictionary.net","biologydictionary.net",1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"13","French","Paris,Paris,Ile-de-France,France","Mammifère","Canonical Scientific Issues","fr","fr","fr","4.12.2022",1,"https://www.cnrtl.fr/definition/mammif%C3%A8re","www.cnrtl.fr","cnrtl.fr",1,1,2,3,1,1,2,3,1,"9",5,2.25,1
"13","French","Paris,Paris,Ile-de-France,France","Mammifère","Canonical Scientific Issues","fr","fr","fr","4.12.2022",4,"https://www.larousse.fr/encyclopedie/divers/mammif%C3%A8re/67848","www.larousse.fr","larousse.fr",1,1,5,10,1,1,2,3,2,"5",5,2.25,1
